0	00	00	0
1	01	01	0
2	02	02	0
3	03	03	0
4	04	04	0
5	05	05	0
6	06	06	0
7	07	07	0
8	08	08	0
9	09	09	0
10	010	010	0
11	011	011	0
12	012	012	0
13	113	013	0
14	114	014	0
15	115	015	0
16	116	016	0
17	217	017	0
18	218	018	0
19	219	119	0
20	320	120	0
21	321	121	0
22	422	122	0
23	523	123	0
24	624	124	0
25	725	125	0
26	926	126	1
27	1127	127	1
28	1228	128	1
29	1529	129	1
30	1730	230	1
31	2031	231	1
32	2332	232	1
33	2633	233	1
34	2934	234	1
35	3335	235	1
36	3736	236	1
37	4137	337	1
38	4538	338	1
39	5039	339	1
40	5540	340	1
41	6041	341	1
42	6542	442	2
43	7143	443	2
44	7644	444	2
45	8145	445	2
46	8646	546	2
47	9147	547	2
48	9648	548	2
49	10249	649	2
50	10750	650	2
51	11151	751	2
52	11652	752	2
53	12053	853	2
54	12454	954	2
55	12855	955	2
56	13256	1056	2
57	13657	1257	2
58	13958	1358	2
59	14259	1559	2
60	14560	1760	2
61	14761	1961	2
62	15062	2162	2
63	15263	2363	3
64	15464	2664	3
65	15565	2865	3
66	15666	3266	3
67	15867	3567	3
68	15968	3868	3
69	16069	4269	3
70	16170	4670	3
71	16271	5071	3
72	16372	5472	3
73	16573	5973	3
74	16674	6474	3
75	16775	6975	3
76	16876	7376	3
77	16977	7877	3
78	17078	8378	4
79	17079	8779	4
80	17180	9280	4
81	17281	9781	4
82	17382	10182	4
83	17483	10683	4
84	17484	11084	5
85	17585	11485	5
86	17686	11886	5
87	17687	12387	6
88	17788	12788	6
89	17889	13189	7
90	17990	13590	7
91	17991	13991	8
92	18092	14392	8
93	18193	14693	9
94	18194	14994	9
95	18295	15295	10
96	18396	15596	10
97	18397	15797	11
98	18498	15998	11
99	18599	16299	12
100	185100	164100	12
101	186101	166101	13
102	187102	168102	13
103	187103	169103	14
104	188104	171104	14
105	189105	173105	15
106	189106	174106	15
107	190107	176107	16
108	190108	177108	17
109	191109	178109	17
110	192110	179110	18
111	192111	180111	19
112	193112	182112	19
113	194113	183113	20
114	194114	184114	21
115	195115	185115	22
116	195116	186116	23
117	196117	187117	24
118	197118	187118	25
119	197119	188119	27
120	198120	189120	28
121	198121	190121	29
122	199122	191122	31
123	199123	192123	32
124	200124	193124	34
125	200125	194125	35
126	201126	194126	37
127	201127	195127	39
128	202128	196128	40
129	202129	197129	42
130	203130	197130	44
131	203131	198131	46
132	204132	199132	48
133	204133	199133	50
134	205134	200134	53
135	205135	200135	55
136	206136	201136	58
137	206137	202137	60
138	207138	202138	63
139	207139	203139	66
140	208140	204140	70
141	209141	204141	73
142	209142	205142	77
143	210143	206143	80
144	210144	207144	85
145	211145	207145	89
146	212146	208146	93
147	212147	209147	98
148	213148	210148	103
149	213149	210149	108
150	214150	211150	113
151	214151	212151	119
152	215152	212152	124
153	216153	213153	129
154	216154	214154	135
155	217155	214155	140
156	217156	215156	146
157	218157	216157	151
158	218158	216158	156
159	219159	217159	161
160	219160	217160	165
161	220161	218161	169
162	220162	218162	173
163	220163	219163	177
164	221164	219164	180
165	221165	220165	184
166	222166	220166	188
167	222167	221167	191
168	223168	222168	195
169	223169	222169	198
170	224170	223170	201
171	224171	223171	204
172	225172	224172	207
173	225173	224173	209
174	226174	225174	211
175	226175	225175	213
176	227176	226176	215
177	227177	226177	217
178	228178	226178	218
179	228179	227179	219
180	229180	227180	221
181	229181	228181	222
182	230182	228182	223
183	230183	229183	224
184	231184	229184	225
185	231185	230185	225
186	232186	230186	226
187	232187	231187	227
188	233188	231188	228
189	233189	232189	229
190	234190	232190	229
191	234191	232191	230
192	235192	233192	230
193	235193	233193	231
194	235194	233194	231
195	236195	234195	232
196	236196	234196	232
197	237197	235197	233
198	237198	235198	233
199	238199	236199	234
200	238200	236200	234
201	239201	236201	235
202	239202	237202	235
203	240203	237203	236
204	240204	237204	236
205	241205	238205	236
206	241206	238206	237
207	242207	239207	237
208	242208	239208	238
209	243209	240209	238
210	243210	240210	238
211	244211	240211	239
212	244212	241212	239
213	245213	241213	240
214	245214	241214	240
215	245215	242215	240
216	246216	242216	241
217	246217	243217	241
218	247218	243218	242
219	247219	244219	242
220	247220	244220	242
221	248221	244221	243
222	248222	245222	243
223	249223	245223	243
224	249224	245224	244
225	249225	246225	244
226	250226	246226	244
227	250227	247227	245
228	250228	247228	245
229	250229	248229	246
230	251230	248230	246
231	251231	249231	246
232	251232	249232	247
233	252233	250233	247
234	252234	250234	248
235	252235	251235	248
236	252236	251236	249
237	252237	251237	249
238	252238	252238	250
239	253239	252239	250
240	253240	252240	251
241	253241	253241	251
242	253242	253242	252
243	253243	253243	252
244	253244	253244	253
245	254245	254245	253
246	254246	254246	253
247	254247	254247	254
248	254248	254248	254
249	254249	254249	254
250	254250	254250	254
251	254251	254251	254
252	254252	254252	254
253	254253	254253	254
254	254254	254254	254
255	255255	255255	254
