0	0
1	0
2	0
3	0
4	0
5	3
6	11
7	23
8	37
9	49
10	60
11	68
12	75
13	81
14	86
15	90
16	94
17	97
18	99
19	101
20	103
21	105
22	106
23	108
24	109
25	110
26	111
27	111
28	112
29	113
30	114
31	114
32	115
33	116
34	116
35	117
36	118
37	119
38	119
39	120
40	121
41	122
42	123
43	125
44	126
45	127
46	128
47	129
48	130
49	131
50	133
51	134
52	135
53	137
54	138
55	139
56	140
57	142
58	143
59	144
60	145
61	146
62	147
63	148
64	149
65	151
66	152
67	153
68	154
69	156
70	157
71	158
72	159
73	161
74	162
75	163
76	163
77	164
78	165
79	166
80	167
81	168
82	168
83	169
84	170
85	171
86	172
87	172
88	173
89	174
90	175
91	176
92	177
93	178
94	179
95	180
96	181
97	182
98	183
99	184
100	185
101	186
102	187
103	188
104	189
105	190
106	191
107	192
108	193
109	194
110	195
111	195
112	196
113	196
114	197
115	198
116	198
117	199
118	199
119	199
120	200
121	200
122	201
123	201
124	201
125	202
126	202
127	202
128	203
129	203
130	203
131	204
132	204
133	204
134	205
135	205
136	205
137	206
138	206
139	206
140	206
141	207
142	207
143	208
144	208
145	208
146	209
147	209
148	209
149	210
150	210
151	211
152	211
153	212
154	212
155	213
156	213
157	214
158	215
159	215
160	215
161	216
162	216
163	217
164	217
165	217
166	218
167	218
168	219
169	219
170	219
171	220
172	220
173	220
174	220
175	221
176	221
177	221
178	222
179	222
180	222
181	222
182	223
183	223
184	223
185	223
186	224
187	224
188	224
189	224
190	225
191	225
192	225
193	226
194	226
195	226
196	227
197	227
198	227
199	228
200	228
201	228
202	229
203	229
204	230
205	230
206	230
207	231
208	231
209	231
210	232
211	232
212	233
213	233
214	234
215	234
216	235
217	235
218	236
219	236
220	237
221	237
222	238
223	238
224	239
225	240
226	241
227	242
228	242
229	243
230	244
231	245
232	247
233	248
234	248
235	249
236	250
237	251
238	252
239	252
240	253
241	253
242	254
243	254
244	254
245	254
246	254
247	254
248	254
249	254
250	254
251	254
252	254
253	254
254	254
255	254
